,problem0,problem1,problem2,problem3,problem4,problem5,problem6,problem7,problem8,problem9
FSO,55.403999999999996,40.94,179.512,1380.5039999999997,299.31600000000003,897.1740000000001,1727.7000000000003,162.138,1091.5119999999997,1074.2640000000001
SSO,17841.617999999995,25088.615999999874,237159.3719999992,181324.14999999668,62994.81299999991,356529.0799999958,121041.80999999781,54768.9999999999,216564.67199999664,367191.1679999925
SSO_sur,22652.435461551177,33316.621251461074,-0.08263440213951867,168184.84599443493,70454.88808495911,336005.3886649762,115418.78470544134,61151.21646825337,211406.07647262796,342852.12296324666
Time,6.673716960474849,7.791294427588582,27.364027578383684,39.45238073542714,18.117698177695274,28.438559535890818,29.67294603586197,19.85833529010415,35.85189785994589,53.22192809730768
OBJ,17897.021999999994,25129.555999999873,237338.88399999918,182704.65399999666,63294.128999999906,357426.2539999958,122769.50999999781,54931.1379999999,217656.18399999663,368265.4319999925
GRB,"1.601915196517e+04,","2.355054800000e+04,","1.715975400000e+05,","1.378954600000e+05,","5.121396800000e+04,","2.724524980000e+05,","9.570946000000e+04,","4.355132000000e+04,","1.638975660000e+05,","2.761116560000e+05,"
