,problem0,problem1,problem2,problem3,problem4,problem5,problem6,problem7,problem8,problem9,problem10,problem11,problem12,problem13,problem14,problem15,problem16,problem17,problem18,problem19,problem20,problem21,problem22,problem23,problem24,problem25,problem26,problem27,problem28,problem29,problem30,problem31,problem32,problem33,problem34,problem35,problem36,problem37,problem38,problem39,problem40,problem41,problem42,problem43,problem44,problem45,problem46,problem47,problem48,problem49
FSO,238.43199999999996,122.98,907.7360000000003,1567.2209999999993,402.44700000000006,761.4619999999999,1954.2949999999992,226.63600000000002,1132.4239999999998,896.2899999999997,505.804,1262.5720000000001,662.8279999999997,1056.77,1578.9280000000006,1282.0679999999995,1253.2499999999995,865.4609999999999,1763.4200000000005,402.236,655.69,532.15,654.2580000000004,660.64,436.08599999999996,316.3640000000001,862.6980000000001,983.7220000000003,561.5040000000001,158.799,82.44999999999999,273.721,721.6440000000001,154.89600000000002,690.2610000000001,1989.085,1362.1469999999993,600.5840000000001,734.182,285.016,62.626999999999995,413.0940000000001,368.2939999999999,1113.276,792.7049999999999,227.184,1075.5819999999997,2163.5099999999998,475.43999999999994,1000.3079999999999
SSO,21270.25799999998,33411.78399999989,230305.51199999897,178483.05999999683,72396.08599999997,361895.4079999962,121330.94499999798,63509.911999999866,221573.72999999643,364166.5519999925,77728.866,218379.58799999865,134423.03999999835,103265.76499999958,191181.81599999778,308803.66299999703,129325.02099999852,180070.39399999916,237268.16399999615,184742.4239999994,75400.77999999974,48647.674999999894,161985.85199999862,74898.97799999983,277115.9219999839,262154.1599999954,367966.2719999942,299429.4239999894,97941.36599999988,45287.60599999988,43946.14400000002,326757.01499999437,110964.04799999953,38552.111999999994,157994.31199999875,201567.5899999969,473763.6679999848,112085.36999999976,252963.19199999623,85256.11999999988,51795.74699999983,97583.9969999996,200265.488999999,148082.66999999736,248366.8669999982,35416.511999999966,320910.5839999966,159719.9699999954,54728.309999999845,235208.82699999763
SSO_sur,20163.5008115586,29645.55633117303,191496.26313331464,138190.07677323057,62442.9485884699,285391.35290762526,97550.35716131012,54831.52898871183,178655.4837986998,276450.7260883958,66828.24734545499,171439.5702745187,98001.43235423874,82821.4526903595,152448.19216796628,252622.0465841937,105933.43933851966,140882.90494449862,190138.03099287103,157374.23387107626,62530.50780970673,45847.441140010276,128411.98015974132,61046.39736275425,224065.05224360924,208935.7140773691,292915.80404093495,242012.48014973445,76410.49140080423,44732.98287863193,40622.0879055867,254882.5242047652,91124.84806331825,36557.36743911027,124225.0028513846,165115.3126632026,369543.45183957054,94576.13699242371,203120.45193683036,69370.1971041486,51707.72165133344,88823.98894506146,162355.3354418757,120783.91886229416,201774.21382611163,32774.591970363144,245226.79182018453,126766.22536494271,50245.201830043465,185441.78789227922
Time,6.282846835441887,8.235196150839329,26.6423960365355,35.45000690873712,16.842869923450053,29.502847882919014,27.61163112986833,18.259341647848487,34.34555067215115,51.94374674372375,19.880161083303392,36.70814017765224,23.999516158364713,33.1104095922783,38.90379231236875,42.66355889942497,28.97608814947307,35.11634666379541,51.912153689190745,25.487085825763643,18.132174440659583,16.39167000632733,27.447944039478898,18.970412033610046,49.824404747225344,34.919866672717035,56.02239615377039,48.92466795258224,22.76517914701253,12.738547450862825,10.237539228983223,34.609078109264374,22.821874944493175,9.64684313442558,27.46686451882124,39.49422296695411,56.77370463963598,25.49586470425129,30.963210404850543,14.424225091002882,9.084824696183205,20.964196376502514,34.43204396404326,26.238538476638496,40.88201524037868,13.424116813577712,45.305583011358976,39.68217500671744,17.23876342177391,35.01597608067095
OBJ,21508.68999999998,33534.763999999894,231213.24799999897,180050.28099999682,72798.53299999997,362656.8699999962,123285.23999999798,63736.547999999864,222706.15399999643,365062.8419999925,78234.67,219642.15999999864,135085.86799999836,104322.53499999958,192760.7439999978,310085.73099999706,130578.27099999852,180935.85499999917,239031.58399999616,185144.6599999994,76056.46999999974,49179.824999999895,162640.10999999862,75559.61799999983,277552.0079999839,262470.5239999954,368828.96999999415,300413.1459999894,98502.86999999988,45446.40499999988,44028.59400000002,327030.7359999944,111685.69199999953,38707.007999999994,158684.57299999875,203556.6749999969,475125.8149999848,112685.95399999977,253697.37399999623,85541.13599999988,51858.37399999983,97997.0909999996,200633.782999999,149195.94599999738,249159.57199999818,35643.69599999997,321986.1659999966,161883.4799999954,55203.74999999985,236209.13499999762
GRB,"1.601915196517e+04,","2.355054800000e+04,","1.715975400000e+05,","1.378954600000e+05,","5.121396800000e+04,","2.724524980000e+05,","9.570946000000e+04,","4.355132000000e+04,","1.638975660000e+05,","2.761116560000e+05,","5.884782600000e+04,","1.601955720000e+05,","9.810009400000e+04,","7.995707000000e+04,","1.418864900000e+05,","2.405493300000e+05,","9.710182600000e+04,","1.307316080000e+05,","1.845590100000e+05,","1.415751080000e+05,","5.580023500000e+04,","3.712081500000e+04,","1.150968650000e+05,","5.415680000000e+04,","2.085109540000e+05,","1.940883810000e+05,","2.833543780000e+05,","2.281212320000e+05,","6.940216400000e+04,","3.530113800000e+04,","3.293598200000e+04,","2.410547240000e+05,","8.077208400000e+04,","2.907093600000e+04,","1.149312440000e+05,","1.595582800000e+05,","3.538052690000e+05,","8.385604000000e+04,","1.900444760000e+05,","6.285778400000e+04,","4.178646996866e+04,","7.364029700000e+04,","1.495956370000e+05,","1.081968460000e+05,","1.852463880000e+05,","2.662524600000e+04,","2.490351200000e+05,","1.226624050000e+05,","4.067921500000e+04,","1.720332760000e+05,"
